Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
vegan,electricity,public,51,rarely,129,5,119,277.2
pescatarian,natural gas,public,58,rarely,1724,7,112,318.2
pescatarian,coal,private,192,very frequently,710,2,238,644.2
vegetarian,wood,public,192,frequently,1101,4,119,435.4
pescatarian,natural gas,public,264,very frequently,1973,7,63,462.2
omnivore,natural gas,walk/bicycle,90,frequently,85,3,98,300.6
pescatarian,wood,public,230,never,290,5,56,441.6
pescatarian,coal,walk/bicycle,128,frequently,97,2,189,265.8
vegan,coal,walk/bicycle,144,never,47,3,154,291.4
omnivore,natural gas,walk/bicycle,94,rarely,42,3,231,320.2
omnivore,wood,walk/bicycle,153,frequently,1,2,84,373.4
pescatarian,wood,walk/bicycle,158,frequently,37,4,175,379.0
omnivore,coal,private,155,never,5139,7,147,646.0
omnivore,coal,walk/bicycle,85,frequently,31,4,266,467.2
vegetarian,wood,private,97,never,5020,3,126,652.8
vegetarian,coal,private,134,never,8931,3,301,736.6
vegetarian,coal,public,246,never,1676,6,315,395.0
vegan,natural gas,private,160,frequently,5222,4,168,719.0
pescatarian,coal,private,193,very frequently,4819,1,70,527.2
omnivore,electricity,public,89,very frequently,1817,2,189,369.0
omnivore,coal,walk/bicycle,133,never,70,1,126,228.0
vegetarian,coal,private,191,frequently,2836,4,273,771.0
omnivore,wood,private,262,never,7153,1,273,280.8
vegan,coal,walk/bicycle,165,very frequently,54,1,231,539.4
vegan,coal,public,126,frequently,857,1,140,409.4
pescatarian,electricity,public,259,frequently,381,3,210,254.2
omnivore,coal,private,100,rarely,1523,2,245,439.8
pescatarian,wood,walk/bicycle,85,very frequently,9,3,98,385.0
vegetarian,coal,private,166,never,8474,4,210,1014.4
vegetarian,coal,public,242,very frequently,1766,6,294,698.0
omnivore,electricity,public,92,very frequently,1781,2,105,640.8
omnivore,electricity,walk/bicycle,87,never,93,5,259,112.0
omnivore,electricity,private,164,rarely,9025,2,280,578.8
vegan,natural gas,public,137,never,79,3,259,235.2
omnivore,natural gas,private,292,never,7908,7,196,1006.8
vegetarian,natural gas,private,201,never,6338,2,168,617.4
pescatarian,wood,public,210,very frequently,1935,2,175,531.6
vegetarian,wood,private,67,never,6848,3,98,711.4
vegan,electricity,walk/bicycle,158,frequently,7,6,210,252.8
vegetarian,coal,walk/bicycle,102,rarely,91,2,56,339.6
vegetarian,natural gas,public,59,very frequently,278,6,140,514.4
vegan,coal,walk/bicycle,289,never,98,5,217,400.0
omnivore,wood,public,196,rarely,379,6,147,399.6
omnivore,electricity,private,280,never,9060,2,126,145.4
omnivore,coal,walk/bicycle,118,rarely,86,1,126,421.4
vegetarian,wood,walk/bicycle,205,never,65,7,217,341.8
vegan,coal,private,91,never,1633,5,154,510.2
vegetarian,electricity,private,166,frequently,9649,5,133,436.2
omnivore,wood,walk/bicycle,287,very frequently,42,5,168,816.4
vegan,electricity,walk/bicycle,72,very frequently,86,1,224,459.4
vegan,natural gas,walk/bicycle,179,rarely,19,4,161,233.6
pescatarian,wood,private,71,rarely,4078,4,147,301.0
omnivore,electricity,public,63,rarely,1828,7,189,376.2
pescatarian,electricity,walk/bicycle,97,frequently,72,3,126,320.8
vegan,wood,private,93,frequently,2071,3,84,421.6
pescatarian,natural gas,walk/bicycle,207,frequently,14,5,70,376.6
vegan,wood,public,291,never,1045,6,266,204.4
vegetarian,wood,walk/bicycle,55,very frequently,92,7,224,410.2
omnivore,natural gas,private,165,never,9910,3,217,957.2
pescatarian,coal,public,185,never,1247,1,133,256.8
vegan,electricity,private,150,never,5191,5,63,487.2
pescatarian,coal,public,157,never,278,2,203,230.0
omnivore,natural gas,private,73,frequently,1251,4,266,615.4
vegan,electricity,walk/bicycle,169,rarely,52,6,126,453.6
vegan,wood,private,266,frequently,9087,5,70,953.4
pescatarian,wood,walk/bicycle,193,very frequently,41,3,217,564.6
vegan,wood,public,245,frequently,1434,2,238,324.0
omnivore,wood,walk/bicycle,210,rarely,66,3,217,258.0
omnivore,wood,private,243,frequently,8711,3,161,1021.6
pescatarian,wood,walk/bicycle,125,very frequently,89,4,238,559.8
vegan,coal,public,163,rarely,634,1,280,241.2
omnivore,natural gas,private,56,never,5885,2,238,421.4
pescatarian,wood,public,87,rarely,1317,1,70,246.6
vegan,wood,walk/bicycle,245,frequently,27,4,196,428.0
pescatarian,natural gas,private,297,frequently,4707,1,49,801.0
vegetarian,natural gas,private,53,never,6478,5,252,814.0
vegan,wood,public,137,never,1133,5,112,186.0
pescatarian,wood,walk/bicycle,211,never,92,4,182,334.8
pescatarian,coal,private,253,rarely,658,4,175,341.4
omnivore,electricity,public,205,frequently,1275,2,259,424.0
pescatarian,wood,walk/bicycle,77,rarely,29,1,266,201.8
vegan,electricity,private,260,never,4360,7,175,630.4
vegan,wood,public,255,frequently,1760,6,217,432.0
omnivore,electricity,private,169,never,6544,7,140,352.2
pescatarian,wood,public,230,very frequently,1358,1,112,555.4
vegetarian,wood,private,139,very frequently,4460,3,175,614.0
pescatarian,coal,walk/bicycle,235,frequently,3,4,133,436.4
vegan,coal,walk/bicycle,52,frequently,2,4,224,342.4
omnivore,wood,walk/bicycle,134,rarely,61,6,112,440.6
pescatarian,wood,private,273,very frequently,720,2,147,580.4
vegetarian,wood,walk/bicycle,53,rarely,17,4,168,157.6
vegetarian,natural gas,walk/bicycle,50,frequently,73,4,217,458.8
pescatarian,coal,walk/bicycle,172,very frequently,67,1,126,492.8
pescatarian,natural gas,private,86,frequently,4842,6,294,395.8
omnivore,wood,walk/bicycle,88,never,18,2,84,173.2
vegetarian,wood,public,193,never,863,7,98,368.8
omnivore,coal,private,209,rarely,9989,4,210,368.8
vegan,electricity,private,230,frequently,4335,2,140,566.2
pescatarian,wood,public,186,frequently,42,2,98,357.8
pescatarian,wood,walk/bicycle,267,frequently,13,6,231,451.4
vegan,natural gas,public,65,rarely,1993,5,245,313.6
pescatarian,wood,walk/bicycle,195,very frequently,78,2,196,440.8
omnivore,electricity,walk/bicycle,121,rarely,68,1,70,232.6
pescatarian,coal,public,51,never,1183,5,98,262.2
vegan,coal,public,56,frequently,1343,4,175,368.6
vegan,wood,private,67,rarely,260,5,182,176.2
vegan,electricity,walk/bicycle,210,never,32,1,294,197.4
omnivore,coal,private,158,rarely,8805,3,21,789.6
pescatarian,electricity,walk/bicycle,221,never,50,2,105,177.8
vegan,wood,public,154,frequently,104,3,161,266.2
vegetarian,coal,walk/bicycle,250,very frequently,23,3,189,506.0
vegetarian,wood,public,87,rarely,1484,4,161,299.4
vegetarian,electricity,public,80,never,1443,7,210,191.6
vegan,natural gas,public,175,very frequently,115,3,98,529.8
pescatarian,natural gas,private,239,frequently,4598,1,273,615.6
pescatarian,wood,walk/bicycle,223,very frequently,12,4,245,561.6
pescatarian,electricity,walk/bicycle,151,very frequently,93,3,147,439.2
omnivore,wood,private,284,frequently,9339,1,133,905.4
vegan,electricity,public,164,frequently,1710,4,182,333.6
vegan,electricity,walk/bicycle,110,rarely,63,7,231,295.0
vegetarian,electricity,private,257,very frequently,2690,4,49,673.0
vegan,wood,private,70,never,8477,7,140,804.2
vegan,coal,private,258,frequently,7644,6,147,805.6
vegetarian,electricity,walk/bicycle,76,never,37,7,182,222.0
omnivore,electricity,public,106,frequently,1979,4,70,400.8
vegetarian,wood,walk/bicycle,251,very frequently,20,3,294,469.2
vegetarian,coal,private,125,frequently,5876,7,154,985.2
pescatarian,natural gas,private,132,very frequently,8841,7,217,1114.2
vegan,electricity,walk/bicycle,167,very frequently,48,4,196,496.8
vegan,wood,private,274,very frequently,9439,3,203,1213.4
vegan,wood,walk/bicycle,93,frequently,62,2,203,311.2
omnivore,natural gas,walk/bicycle,215,rarely,49,1,175,359.4
omnivore,coal,private,161,never,8956,5,70,715.8
vegan,electricity,walk/bicycle,68,frequently,58,4,182,304.4
vegetarian,coal,public,61,very frequently,572,7,126,451.8
vegetarian,electricity,public,135,frequently,964,3,168,339.8
pescatarian,wood,public,140,frequently,1023,7,77,398.8
vegan,natural gas,public,118,never,280,5,273,280.2
vegan,wood,public,106,frequently,1499,5,259,485.8
vegan,coal,private,156,rarely,4250,5,161,658.8
omnivore,natural gas,public,269,frequently,1005,5,84,455.4
omnivore,wood,walk/bicycle,239,never,79,2,154,254.8
pescatarian,electricity,walk/bicycle,127,never,58,4,203,102.6
pescatarian,electricity,walk/bicycle,200,frequently,50,5,301,361.8
vegetarian,natural gas,private,256,never,2742,7,119,526.0
omnivore,electricity,public,189,never,1309,3,273,375.0
vegan,wood,private,80,frequently,624,6,224,529.4
vegan,wood,private,116,never,4413,2,238,216.8
pescatarian,natural gas,walk/bicycle,238,very frequently,87,1,154,483.4
pescatarian,coal,walk/bicycle,166,very frequently,34,1,210,491.6
vegan,natural gas,public,105,rarely,1668,2,91,329.0
pescatarian,coal,public,288,very frequently,474,6,140,556.8
vegan,natural gas,walk/bicycle,163,rarely,34,6,238,298.8
omnivore,electricity,private,271,frequently,3149,7,245,626.0
pescatarian,electricity,private,158,rarely,7037,2,98,139.4
vegan,natural gas,walk/bicycle,242,rarely,24,1,273,222.2
vegan,natural gas,public,199,rarely,354,1,140,266.4
pescatarian,natural gas,private,267,rarely,3199,5,28,531.8
omnivore,natural gas,public,52,never,1028,6,154,234.0
pescatarian,electricity,private,158,never,2200,7,147,314.0
omnivore,natural gas,walk/bicycle,229,rarely,18,1,182,262.4
omnivore,electricity,private,68,rarely,9691,5,140,331.2
vegan,electricity,walk/bicycle,254,very frequently,10,1,154,388.8
vegetarian,coal,walk/bicycle,146,frequently,0,6,154,389.4
pescatarian,natural gas,walk/bicycle,267,frequently,4,7,84,495.6
pescatarian,wood,walk/bicycle,73,very frequently,62,5,294,558.6
vegetarian,wood,private,113,rarely,6943,2,168,142.4
vegan,natural gas,private,147,very frequently,9543,1,168,328.0
vegan,natural gas,walk/bicycle,289,frequently,66,3,175,417.0
pescatarian,natural gas,walk/bicycle,211,very frequently,11,3,35,625.4
vegan,coal,walk/bicycle,223,very frequently,91,1,112,565.6
omnivore,natural gas,walk/bicycle,147,frequently,0,2,245,359.4
vegan,electricity,walk/bicycle,112,never,4,5,168,98.4
omnivore,natural gas,public,245,frequently,460,6,119,458.6
pescatarian,natural gas,public,207,never,953,3,168,187.8
pescatarian,electricity,private,162,frequently,5254,1,126,757.2
pescatarian,electricity,public,163,rarely,1686,1,196,210.8
pescatarian,natural gas,public,148,rarely,81,6,42,281.2
pescatarian,electricity,private,170,never,2157,4,245,318.8
vegetarian,wood,public,175,rarely,541,3,168,355.4
pescatarian,natural gas,private,239,rarely,6343,4,224,701.6
omnivore,wood,public,97,rarely,673,3,217,347.4
pescatarian,natural gas,private,120,frequently,4098,7,42,628.8
vegan,electricity,walk/bicycle,144,frequently,94,6,168,321.4
vegan,wood,public,214,frequently,1269,1,140,264.0
vegan,wood,private,128,rarely,783,5,189,331.0
vegan,wood,private,186,never,8096,5,238,990.8
vegetarian,wood,walk/bicycle,213,never,72,2,175,183.4
vegetarian,coal,private,57,rarely,6134,4,21,557.6
vegetarian,natural gas,walk/bicycle,141,frequently,67,3,273,401.0
vegan,coal,walk/bicycle,121,rarely,56,7,189,256.0
vegetarian,natural gas,walk/bicycle,205,frequently,63,5,91,468.2
vegan,natural gas,walk/bicycle,136,very frequently,1,5,98,465.6
vegan,wood,walk/bicycle,76,never,89,1,112,272.2
pescatarian,natural gas,public,165,never,920,4,189,189.0
vegan,natural gas,public,142,never,762,1,175,261.8
pescatarian,electricity,walk/bicycle,163,frequently,63,6,273,443.8
omnivore,natural gas,private,112,rarely,7768,3,112,1025.6
pescatarian,natural gas,public,77,rarely,360,3,224,257.8
vegetarian,electricity,public,180,frequently,1305,6,70,420.2
vegan,natural gas,private,75,frequently,2737,4,273,572.4
pescatarian,coal,private,163,frequently,9777,6,126,1056.8
vegan,coal,walk/bicycle,99,rarely,35,4,252,361.0
omnivore,coal,private,188,frequently,9888,4,35,915.6
pescatarian,wood,public,298,very frequently,985,7,322,636.6
vegetarian,electricity,public,215,never,1913,3,133,242.0
vegetarian,electricity,private,237,very frequently,5268,4,245,873.4
vegetarian,natural gas,walk/bicycle,118,frequently,96,5,231,364.8
pescatarian,natural gas,walk/bicycle,211,rarely,69,3,189,257.8
vegetarian,natural gas,walk/bicycle,123,very frequently,7,7,112,584.8
vegetarian,natural gas,private,269,frequently,3033,2,98,403.4
vegetarian,natural gas,private,258,never,6736,4,210,645.2
omnivore,natural gas,walk/bicycle,170,frequently,33,1,140,502.0
omnivore,electricity,walk/bicycle,80,frequently,91,4,70,425.0
omnivore,coal,public,145,rarely,811,6,217,453.0
vegan,wood,walk/bicycle,151,never,45,4,301,358.0
omnivore,coal,private,76,rarely,3392,4,147,256.6
pescatarian,coal,private,113,very frequently,304,4,266,456.6
pescatarian,electricity,public,192,frequently,1784,7,154,560.4
vegetarian,coal,private,295,rarely,6637,4,28,807.2
omnivore,natural gas,private,242,never,2721,7,308,621.2
pescatarian,natural gas,private,77,frequently,3540,2,329,446.0
vegan,electricity,private,99,frequently,5772,1,273,627.8
omnivore,wood,private,195,rarely,84,7,252,392.4
omnivore,electricity,private,117,never,2930,6,224,199.0
vegetarian,electricity,walk/bicycle,74,frequently,59,1,154,302.6
omnivore,wood,private,143,never,4986,7,245,718.4
pescatarian,coal,public,140,very frequently,1573,4,133,605.0
vegan,natural gas,private,178,very frequently,357,3,224,457.4
pescatarian,coal,walk/bicycle,70,very frequently,19,1,112,418.4
omnivore,wood,walk/bicycle,110,very frequently,85,6,168,489.0
omnivore,wood,private,240,frequently,4087,5,203,679.2
pescatarian,natural gas,public,163,rarely,1849,6,126,261.2
vegan,electricity,public,177,rarely,999,5,329,268.2
vegetarian,natural gas,walk/bicycle,185,frequently,24,2,294,473.6
omnivore,natural gas,private,244,rarely,6420,2,175,262.0
omnivore,natural gas,public,96,frequently,1345,6,189,526.8
vegetarian,natural gas,walk/bicycle,54,never,71,4,28,189.8
pescatarian,wood,public,79,rarely,669,5,133,289.6
omnivore,electricity,public,230,rarely,678,1,196,336.0
pescatarian,natural gas,private,231,never,4269,2,273,667.2
vegetarian,wood,walk/bicycle,60,never,65,3,224,248.6
vegan,electricity,private,61,frequently,353,4,42,368.8
vegan,coal,private,175,rarely,5959,6,252,782.2
vegetarian,electricity,walk/bicycle,235,never,38,1,112,123.4
omnivore,natural gas,private,145,never,4532,4,140,473.8
pescatarian,electricity,walk/bicycle,83,rarely,46,5,84,272.4
omnivore,electricity,public,83,very frequently,15,1,168,396.4
vegan,natural gas,private,260,frequently,3152,1,91,548.0
vegan,coal,walk/bicycle,171,frequently,51,1,196,437.8
vegetarian,electricity,private,220,never,9839,6,224,816.6
omnivore,electricity,private,283,rarely,8386,7,98,611.2
vegetarian,natural gas,walk/bicycle,251,rarely,14,5,224,460.4
omnivore,coal,walk/bicycle,258,never,73,6,147,569.6
pescatarian,natural gas,public,207,rarely,1473,7,287,378.8
pescatarian,coal,public,127,very frequently,869,5,98,853.2
vegetarian,coal,walk/bicycle,293,frequently,83,3,175,425.2
omnivore,coal,private,126,frequently,1413,5,168,591.4
vegan,electricity,public,157,very frequently,519,4,217,526.4
vegan,wood,private,54,never,1835,2,217,198.4
vegetarian,natural gas,walk/bicycle,252,frequently,96,5,133,281.2
omnivore,wood,public,138,very frequently,1049,5,182,665.6
vegan,electricity,public,183,rarely,68,2,308,217.4
vegan,natural gas,public,104,frequently,535,6,231,414.6
pescatarian,electricity,private,200,frequently,4320,6,175,322.0
omnivore,wood,public,220,rarely,1706,1,280,313.8
vegetarian,electricity,private,126,rarely,1718,2,140,158.8
omnivore,wood,walk/bicycle,187,rarely,47,4,182,275.2
vegetarian,wood,public,286,never,794,5,196,330.2
pescatarian,electricity,public,202,very frequently,104,5,56,509.2
vegetarian,natural gas,walk/bicycle,121,frequently,20,7,175,404.6
vegan,natural gas,private,187,rarely,6117,2,182,676.0
pescatarian,electricity,private,234,very frequently,1406,7,105,610.0
vegan,natural gas,public,189,frequently,582,4,168,499.6
pescatarian,electricity,public,157,frequently,736,4,175,385.2
vegan,natural gas,public,73,rarely,1486,6,196,490.6
vegetarian,coal,private,53,never,6296,3,77,290.4
omnivore,natural gas,private,235,frequently,4812,1,161,657.2
omnivore,natural gas,private,134,very frequently,7768,4,175,1234.0
vegetarian,wood,private,167,very frequently,1083,3,294,461.4
vegan,coal,private,284,rarely,2644,1,231,479.0
vegan,wood,public,66,never,952,6,182,240.2
omnivore,coal,private,181,rarely,5209,3,56,290.4
vegetarian,natural gas,walk/bicycle,92,very frequently,13,6,259,447.6
vegan,wood,walk/bicycle,71,very frequently,40,7,140,671.4
vegan,natural gas,walk/bicycle,80,rarely,29,3,259,315.2
vegan,wood,public,129,frequently,512,7,147,426.6
pescatarian,natural gas,public,260,rarely,1742,2,210,326.2
omnivore,coal,private,295,rarely,6364,5,98,799.2
omnivore,coal,public,217,frequently,317,2,133,523.2
pescatarian,wood,private,193,never,6477,5,210,353.0
pescatarian,natural gas,public,198,never,709,1,105,277.0
vegan,electricity,private,221,frequently,2188,6,252,414.2
omnivore,electricity,walk/bicycle,172,never,28,7,91,347.0
vegan,electricity,public,229,never,1285,5,140,179.0
pescatarian,electricity,walk/bicycle,231,rarely,93,1,112,208.2
vegan,natural gas,public,297,never,980,6,231,386.6
vegan,wood,public,237,very frequently,1514,5,238,505.8
pescatarian,electricity,public,224,rarely,1145,1,112,234.8
pescatarian,natural gas,walk/bicycle,101,very frequently,39,1,252,616.0
vegan,natural gas,private,71,very frequently,320,4,182,359.4
vegan,natural gas,public,178,never,1852,4,259,331.4
vegetarian,natural gas,walk/bicycle,236,frequently,19,3,105,349.4
vegan,natural gas,public,127,very frequently,412,6,189,677.2
pescatarian,wood,private,92,never,4413,3,231,510.8
pescatarian,coal,public,256,never,1407,7,224,506.8
pescatarian,natural gas,public,286,never,316,1,238,166.0
vegetarian,coal,public,137,very frequently,1844,1,308,535.2
pescatarian,electricity,public,250,frequently,743,4,119,472.8
vegetarian,coal,walk/bicycle,259,frequently,67,5,112,522.0
pescatarian,electricity,public,177,very frequently,1231,4,91,478.6
omnivore,wood,public,188,never,937,4,161,428.2
vegan,wood,walk/bicycle,148,rarely,25,5,266,437.2
pescatarian,natural gas,public,112,rarely,228,2,112,267.8
pescatarian,natural gas,private,81,very frequently,6386,5,301,809.2
pescatarian,electricity,private,73,very frequently,62,6,14,445.0
pescatarian,wood,private,292,frequently,4689,7,70,885.8
